,beach_name,water_temperature,turbidity,wave_height,wave_period,battery_life,time_of_day,month,day,year
0,Montrose Beach,20.3,1.18,0.08,3.0,9.4,08:00:00,08,30,2013
1,Ohio Street Beach,14.4,1.23,0.111,4.0,12.4,01:00:00,05,26,2016
2,Calumet Beach,23.2,3.63,0.174,6.0,9.4,04:00:00,09,03,2013
3,Calumet Beach,16.2,1.26,0.147,4.0,11.7,12:00:00,05,28,2014
4,Montrose Beach,14.4,3.36,0.298,4.0,11.9,12:00:00,05,28,2014
5,Montrose Beach,14.5,2.72,0.306,3.0,11.9,01:00:00,05,28,2014
6,Calumet Beach,16.3,1.28,0.162,4.0,11.7,01:00:00,05,28,2014
7,Montrose Beach,14.8,2.97,0.32799999999999996,3.0,11.9,02:00:00,05,28,2014
8,Calumet Beach,16.5,1.32,0.185,4.0,11.7,02:00:00,05,28,2014
9,Calumet Beach,16.8,1.31,0.196,4.0,11.7,03:00:00,05,28,2014
10,Montrose Beach,14.5,4.3,0.32799999999999996,3.0,11.9,03:00:00,05,28,2014
11,Calumet Beach,17.1,1.37,0.19399999999999998,4.0,11.7,04:00:00,05,28,2014
12,Montrose Beach,14.4,4.87,0.341,3.0,11.9,04:00:00,05,28,2014
13,Calumet Beach,17.2,1.48,0.203,4.0,11.7,05:00:00,05,28,2014
14,Montrose Beach,14.1,5.06,0.34,4.0,11.9,05:00:00,05,28,2014
15,Montrose Beach,14.2,5.76,0.35600000000000004,3.0,11.9,06:00:00,05,28,2014
16,Calumet Beach,17.1,1.8,0.188,4.0,11.7,06:00:00,05,28,2014
17,Calumet Beach,17.0,1.82,0.19399999999999998,4.0,11.7,07:00:00,05,28,2014
18,Montrose Beach,14.2,6.32,0.34600000000000003,3.0,11.9,07:00:00,05,28,2014
19,Montrose Beach,14.4,6.89,0.38,4.0,11.9,08:00:00,05,28,2014
20,Calumet Beach,17.0,1.83,0.196,4.0,11.7,08:00:00,05,28,2014
21,Montrose Beach,14.5,7.11,0.361,5.0,11.9,09:00:00,05,28,2014
22,Calumet Beach,16.8,1.9,0.18100000000000002,4.0,11.7,09:00:00,05,28,2014
23,Montrose Beach,14.5,6.88,0.345,4.0,11.9,10:00:00,05,28,2014
24,Calumet Beach,16.7,1.83,0.18,4.0,11.7,10:00:00,05,28,2014
25,Montrose Beach,14.3,7.32,0.331,4.0,11.9,11:00:00,05,28,2014
26,Calumet Beach,16.5,1.69,0.177,4.0,11.7,11:00:00,05,28,2014
27,Calumet Beach,16.3,1.62,0.159,4.0,11.7,01:00:00,05,29,2014
28,Montrose Beach,14.2,7.18,0.305,4.0,11.9,01:00:00,05,29,2014
29,Montrose Beach,14.2,6.35,0.321,3.0,11.9,02:00:00,05,29,2014
30,Calumet Beach,16.2,1.57,0.154,4.0,11.7,02:00:00,05,29,2014
31,Calumet Beach,16.1,1.8,0.163,4.0,11.7,03:00:00,05,29,2014
32,Montrose Beach,14.1,6.78,0.285,4.0,11.8,03:00:00,05,29,2014
33,Calumet Beach,16.1,1.82,0.156,4.0,11.7,04:00:00,05,29,2014
34,Montrose Beach,14.1,6.27,0.306,3.0,11.8,04:00:00,05,29,2014
