name,college_country,g,gs,mp,fg,fga,fg%,2p,2pa,2p%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,sos,position,height,handedness,per,vorp
Zion Williamson,Duke,33,33,30.00,9.00,13.20,0.680,8.20,11.00,0.747,0.70,2.20,0.338,3.90,6.20,0.640,3.50,5.40,8.90,2.10,2.10,1.80,2.40,2.10,22.60,11.98,forward,"""6-6""",left,24.10,0.70
Ja Morant,Murray State,65,65,35.30,6.10,12.60,0.485,4.80,8.90,0.545,1.30,3.80,0.343,5.10,6.30,0.810,1.50,4.60,6.10,8.20,1.40,0.60,3.80,1.70,18.70,-3.32,guard,"""6-3""",right,17.40,1.20
RJ Barrett,Duke,38,38,35.30,8.40,18.50,0.454,6.50,12.20,0.529,1.90,6.20,0.308,3.90,5.90,0.665,1.60,6.00,7.60,4.30,0.90,0.40,3.20,1.80,22.60,11.98,guard,"""6-6""",left,10.70,-1.00
De'Andre Hunter,Virginia,71,38,26.60,4.40,8.50,0.509,3.40,6.30,0.541,0.90,2.30,0.419,2.80,3.60,0.773,1.30,3.10,4.40,1.60,0.60,0.50,1.20,1.90,12.40,9.61,forward,"""6-7""",right,8.60,-1.40
Darius Garland,Vanderbilt,5,5,27.80,5.80,10.80,0.537,3.60,6.20,0.581,2.20,4.60,0.478,2.40,3.20,0.750,0.40,3.40,3.80,2.60,0.80,0.40,3.00,1.40,16.20,7.79,guard,"""6-1""",right,8.50,-1.70
Jarrett Culver,Texas Tech,75,58,29.50,5.30,11.60,0.459,3.90,7.50,0.522,1.40,4.10,0.341,2.90,4.20,0.687,1.20,4.40,5.60,2.80,1.30,0.60,2.10,2.00,14.90,9.56,guard,"""6-6""",right,9.60,-0.80
Coby White,North Carolina,35,35,28.50,5.40,12.70,0.423,3.00,6.10,0.500,2.30,6.60,0.353,3.00,3.70,0.800,0.30,3.20,3.50,4.10,1.10,0.30,2.70,1.90,16.10,11.35,guard,"""6-4""",right,11.90,-0.40
Jaxson Hayes,Texas,32,21,23.30,3.80,5.30,0.728,3.80,5.30,0.728,0.00,0.00,0.000,2.30,3.10,0.740,1.80,3.30,5.00,0.30,0.60,2.20,0.90,3.30,10.00,11.46,center,"""6-11""",right,17.60,0.50
Rui Hachimura,Gonzaga,102,39,19.70,4.50,7.80,0.579,4.30,7.10,0.607,0.20,0.70,0.316,2.80,3.70,0.746,1.10,3.30,4.40,0.80,0.60,0.50,1.20,1.60,12.10,3.91,forward,"""6-8""",right,13.50,-0.40
Cam Reddish,Duke,36,35,29.70,4.30,12.00,0.356,1.80,4.60,0.394,2.50,7.40,0.333,2.40,3.20,0.772,0.60,3.10,3.70,1.90,1.60,0.60,2.70,2.40,13.50,11.98,forward,"""6-8""",right,9.00,-0.90
