iter	Passed	Remaining
0	57	57306
1	59	29594
2	60	20059
3	61	15437
4	63	12702
5	66	10964
6	67	9610
7	69	8634
8	71	7892
9	73	7251
10	74	6714
11	76	6270
12	77	5893
13	79	5572
14	80	5294
15	82	5047
16	83	4829
17	86	4708
18	88	4543
19	89	4384
20	90	4239
21	92	4108
22	93	3977
23	95	3864
24	96	3748
25	97	3654
26	99	3587
27	101	3540
28	103	3452
29	104	3381
30	105	3301
31	107	3238
32	108	3178
33	109	3123
34	111	3071
35	112	3022
36	114	2981
37	116	2958
38	118	2916
39	119	2876
40	121	2837
41	122	2801
42	124	2765
43	125	2731
44	127	2698
45	128	2661
46	131	2660
47	132	2634
48	134	2607
49	135	2579
50	137	2554
51	138	2529
52	140	2505
53	141	2481
54	143	2458
55	145	2456
56	147	2438
57	148	2417
58	150	2396
59	151	2377
60	152	2352
61	154	2333
62	155	2314
63	157	2297
64	158	2274
65	160	2276
66	162	2264
67	164	2248
68	165	2227
69	165	2204
70	167	2190
71	168	2176
72	170	2163
73	171	2150
74	173	2136
75	175	2139
76	177	2128
77	179	2116
78	180	2104
79	181	2088
80	183	2076
81	184	2064
82	185	2054
83	187	2044
84	189	2035
85	191	2034
86	192	2024
87	194	2014
88	195	2005
89	197	1995
90	198	1986
91	199	1971
92	200	1955
93	201	1940
94	202	1931
95	204	1930
96	206	1923
97	208	1914
98	209	1906
99	210	1898
100	212	1890
101	213	1883
102	215	1875
103	216	1868
104	218	1862
105	220	1861
106	222	1854
107	223	1847
108	225	1840
109	226	1833
110	228	1829
111	229	1819
112	230	1812
113	232	1805
114	235	1808
115	236	1802
116	239	1804
117	241	1802
118	242	1792
119	244	1789
120	245	1782
121	247	1780
122	249	1780
123	251	1779
124	253	1775
125	256	1775
126	258	1775
127	260	1773
128	263	1778
129	265	1777
130	267	1776
131	269	1775
132	271	1771
133	273	1769
134	279	1791
135	281	1791
136	284	1790
137	286	1791
138	288	1786
139	290	1782
140	293	1787
141	296	1788
142	298	1789
143	300	1789
144	303	1789
145	307	1798
146	310	1799
147	312	1798
148	315	1802
149	317	1797
150	318	1791
151	320	1787
152	322	1785
153	324	1784
154	326	1780
155	328	1779
156	329	1771
157	331	1766
158	332	1760
159	334	1757
160	336	1753
161	338	1748
162	339	1743
163	341	1738
164	343	1736
165	344	1731
166	345	1723
167	347	1718
168	348	1714
169	350	1710
170	352	1710
171	354	1706
172	356	1706
173	358	1702
174	360	1697
175	361	1692
176	363	1689
177	364	1685
178	366	1683
179	368	1678
180	370	1675
181	371	1670
182	373	1666
183	374	1662
184	376	1657
185	378	1656
186	380	1652
187	382	1651
188	383	1647
189	386	1645
190	387	1641
191	389	1637
192	390	1632
193	392	1630
194	394	1626
195	395	1622
196	397	1621
197	401	1625
198	402	1621
