,images,name_of_dog
1,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_10074.jpg,chihuahua
2,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_10131.jpg,chihuahua
3,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_10621.jpg,chihuahua
4,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1073.jpg,chihuahua
5,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_10976.jpg,chihuahua
6,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_11140.jpg,chihuahua
7,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_11238.jpg,chihuahua
8,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_11258.jpg,chihuahua
9,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_11337.jpg,chihuahua
10,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_11477.jpg,chihuahua
11,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1152.jpg,chihuahua
12,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_11696.jpg,chihuahua
13,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_11818.jpg,chihuahua
14,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_11948.jpg,chihuahua
15,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1205.jpg,chihuahua
16,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_12101.jpg,chihuahua
17,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_12334.jpg,chihuahua
18,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1235.jpg,chihuahua
19,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1271.jpg,chihuahua
20,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_12718.jpg,chihuahua
21,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1298.jpg,chihuahua
22,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_13151.jpg,chihuahua
23,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1321.jpg,chihuahua
24,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_13383.jpg,chihuahua
25,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1346.jpg,chihuahua
26,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_13964.jpg,chihuahua
27,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_14252.jpg,chihuahua
28,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_14413.jpg,chihuahua
29,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_14516.jpg,chihuahua
30,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1455.jpg,chihuahua
31,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1492.jpg,chihuahua
32,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1502.jpg,chihuahua
33,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1558.jpg,chihuahua
34,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1569.jpg,chihuahua
35,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1617.jpg,chihuahua
36,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1620.jpg,chihuahua
37,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1765.jpg,chihuahua
38,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1816.jpg,chihuahua
39,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1862.jpg,chihuahua
40,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_1916.jpg,chihuahua
41,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_199.jpg,chihuahua
42,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2053.jpg,chihuahua
43,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2188.jpg,chihuahua
44,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2204.jpg,chihuahua
45,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2208.jpg,chihuahua
46,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_242.jpg,chihuahua
47,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2479.jpg,chihuahua
48,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2507.jpg,chihuahua
49,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2517.jpg,chihuahua
50,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2590.jpg,chihuahua
51,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2614.jpg,chihuahua
52,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2650.jpg,chihuahua
53,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2693.jpg,chihuahua
54,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2706.jpg,chihuahua
55,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_275.jpg,chihuahua
56,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2793.jpg,chihuahua
57,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2815.jpg,chihuahua
58,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2887.jpg,chihuahua
59,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2903.jpg,chihuahua
60,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2921.jpg,chihuahua
61,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2937.jpg,chihuahua
62,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2973.jpg,chihuahua
63,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_2981.jpg,chihuahua
64,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3006.jpg,chihuahua
65,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3033.jpg,chihuahua
66,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3045.jpg,chihuahua
67,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3093.jpg,chihuahua
68,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3110.jpg,chihuahua
69,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3208.jpg,chihuahua
70,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_326.jpg,chihuahua
71,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3402.jpg,chihuahua
72,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3407.jpg,chihuahua
73,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3409.jpg,chihuahua
74,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3423.jpg,chihuahua
75,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3485.jpg,chihuahua
76,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3488.jpg,chihuahua
77,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3593.jpg,chihuahua
78,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3651.jpg,chihuahua
79,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3677.jpg,chihuahua
80,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_368.jpg,chihuahua
81,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3681.jpg,chihuahua
82,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3742.jpg,chihuahua
83,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3763.jpg,chihuahua
84,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_382.jpg,chihuahua
85,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3826.jpg,chihuahua
86,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3838.jpg,chihuahua
87,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3875.jpg,chihuahua
88,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3877.jpg,chihuahua
89,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3880.jpg,chihuahua
90,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3928.jpg,chihuahua
91,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3942.jpg,chihuahua
92,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_3975.jpg,chihuahua
93,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4016.jpg,chihuahua
94,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4159.jpg,chihuahua
95,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4207.jpg,chihuahua
96,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4266.jpg,chihuahua
97,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4290.jpg,chihuahua
98,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_431.jpg,chihuahua
99,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4441.jpg,chihuahua
100,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4515.jpg,chihuahua
101,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4572.jpg,chihuahua
102,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4602.jpg,chihuahua
103,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4673.jpg,chihuahua
104,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4700.jpg,chihuahua
105,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_473.jpg,chihuahua
106,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_477.jpg,chihuahua
107,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4814.jpg,chihuahua
108,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4875.jpg,chihuahua
109,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4919.jpg,chihuahua
110,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4951.jpg,chihuahua
111,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4980.jpg,chihuahua
112,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_4998.jpg,chihuahua
113,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_500.jpg,chihuahua
114,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_5093.jpg,chihuahua
115,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_5312.jpg,chihuahua
116,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_5496.jpg,chihuahua
117,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_5661.jpg,chihuahua
118,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_5713.jpg,chihuahua
119,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_574.jpg,chihuahua
120,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_575.jpg,chihuahua
121,images/stanford-dogs-dataset/images/Images/n02085620-Chihuahua/n02085620_5771.jpg,chihuahua
