iter	RMSE
0	13.89117695
1	13.61363569
2	13.34482089
3	13.08148604
4	12.82825013
5	12.5870711
6	12.34999158
7	12.12389102
8	11.90446843
9	11.69250494
10	11.48735731
11	11.28871732
12	11.09918477
13	10.91649083
14	10.74026098
15	10.5679973
16	10.40300182
17	10.24624506
18	10.0918122
19	9.945545824
20	9.805405392
21	9.672260257
22	9.54257742
23	9.419193823
24	9.29933402
25	9.184861837
26	9.07484527
27	8.96670406
28	8.865006187
29	8.769441064
30	8.676425179
31	8.586532886
32	8.501139443
33	8.418588212
34	8.339659391
35	8.261772086
36	8.189384081
37	8.122385669
38	8.055716936
39	7.992813636
40	7.931761829
41	7.873434864
42	7.816804924
43	7.764103868
44	7.712334641
45	7.663878071
46	7.617506886
47	7.57280387
48	7.530750021
49	7.490520356
50	7.452686308
51	7.416428692
52	7.380799435
53	7.347483589
54	7.317514477
55	7.287382371
56	7.258648531
57	7.230943082
58	7.203874115
59	7.177819537
60	7.154327997
61	7.13139574
62	7.110014423
63	7.088637875
64	7.068757569
65	7.049152104
66	7.031223341
67	7.013981287
68	6.997555054
69	6.982073603
70	6.967424518
71	6.953711272
72	6.939861572
73	6.927433644
74	6.915667786
75	6.904192356
76	6.893409573
77	6.882937411
78	6.872456426
79	6.862505464
80	6.85283702
81	6.844140432
82	6.835298883
83	6.826789878
84	6.818951571
85	6.811660336
86	6.804714281
87	6.798069006
88	6.791577043
89	6.785173534
90	6.779370021
91	6.774078661
92	6.76892333
93	6.76391917
94	6.758647811
95	6.754120608
96	6.749733168
97	6.745610269
98	6.741430295
99	6.737450589
100	6.733573862
101	6.730076758
102	6.72664653
103	6.723228406
104	6.720017629
105	6.716857486
106	6.714085291
107	6.711193963
108	6.708641079
109	6.705853229
110	6.70345164
111	6.701090773
112	6.698835892
113	6.696285611
114	6.694536685
115	6.692512083
116	6.690633506
117	6.688957179
118	6.687318257
119	6.685448706
120	6.683695942
121	6.682167145
122	6.680482404
123	6.678988848
124	6.67731054
125	6.676086357
126	6.674929522
127	6.673732039
128	6.672327954
129	6.67112261
130	6.670029194
131	6.66901147
132	6.667847205
133	6.666581525
134	6.665593213
135	6.664471451
136	6.663284901
137	6.662483309
138	6.661562677
139	6.660385838
140	6.659240491
141	6.658127411
142	6.657142141
143	6.65632058
144	6.65544458
145	6.654570126
146	6.653683816
147	6.65310184
148	6.652130143
149	6.651056115
150	6.650126498
151	6.649518166
152	6.648992317
153	6.648388675
154	6.647723373
155	6.647006612
156	6.646308502
157	6.645155436
158	6.644324448
159	6.643672252
160	6.64310908
161	6.642461976
162	6.641852782
163	6.641322686
164	6.640709969
165	6.640044534
166	6.639478375
167	6.638715053
168	6.638380663
169	6.63770568
170	6.636762399
171	6.636196982
172	6.635498186
173	6.634854567
174	6.634165824
175	6.633520943
176	6.632928052
177	6.632407808
178	6.631900501
179	6.631135408
180	6.630596834
181	6.630001328
182	6.629395444
183	6.628476164
184	6.627927601
185	6.627613146
186	6.627085299
187	6.626379806
188	6.625679522
189	6.624876629
190	6.624451141
191	6.623941384
192	6.623376763
193	6.622694399
194	6.621798891
195	6.6213985
196	6.620740207
197	6.620032573
198	6.619474399
199	6.61871622
200	6.617904029
201	6.617751141
202	6.617105156
203	6.616418748
204	6.615711138
205	6.615255785
206	6.6148885
207	6.614422064
208	6.613871913
209	6.613451432
210	6.612988883
211	6.612410874
212	6.611900252
213	6.611020631
214	6.6106653
215	6.610263147
216	6.609383082
217	6.608851519
218	6.608098694
219	6.607685417
220	6.606720447
221	6.606402245
222	6.605954082
223	6.605612147
224	6.605460692
225	6.604756247
226	6.603959607
227	6.603431579
228	6.602912696
229	6.602439199
230	6.602096823
231	6.601390834
232	6.600553347
233	6.599852499
234	6.599279143
235	6.598888619
236	6.598577931
237	6.597933776
238	6.597047392
239	6.59616268
240	6.594940597
241	6.594559302
242	6.594085782
243	6.593437576
244	6.593023547
245	6.592474015
