iter	Passed	Remaining
0	10	16014
1	18	13574
2	25	12628
3	33	12346
4	40	12049
5	47	11841
6	54	11730
7	62	11676
8	69	11563
9	77	11494
10	84	11413
11	91	11356
12	98	11304
13	106	11261
14	113	11235
15	120	11199
16	127	11150
17	134	11113
18	142	11082
19	149	11062
20	157	11078
21	164	11068
22	171	11040
23	179	11013
24	186	10994
25	193	10972
26	200	10949
27	212	11146
28	226	11481
29	249	12235
30	269	12767
31	279	12842
32	291	12949
33	300	12977
34	308	12915
35	315	12849
36	324	12812
37	331	12738
38	338	12665
39	345	12592
40	352	12528
41	359	12468
42	366	12413
43	373	12353
44	380	12296
45	387	12242
46	394	12181
47	401	12135
48	409	12122
49	423	12281
50	436	12415
51	452	12588
52	468	12779
53	477	12797
54	485	12751
55	496	12794
56	508	12863
57	515	12815
58	522	12759
59	529	12705
60	536	12652
61	543	12603
62	551	12571
63	557	12516
64	564	12462
65	571	12410
66	578	12366
67	585	12322
68	591	12276
69	598	12230
70	607	12217
71	621	12318
72	634	12405
73	649	12519
74	666	12656
75	675	12662
76	686	12679
77	697	12707
78	704	12676
79	711	12634
80	718	12590
81	727	12574
82	737	12591
83	744	12549
84	751	12507
85	758	12465
86	765	12425
87	771	12383
88	778	12342
89	785	12300
90	791	12257
91	798	12220
92	811	12274
93	825	12344
94	839	12409
95	853	12486
96	870	12586
97	880	12595
98	887	12556
99	898	12581
100	909	12594
101	916	12562
102	923	12522
103	930	12485
104	936	12447
105	943	12407
106	950	12367
107	960	12379
108	973	12423
109	987	12478
110	994	12444
111	1011	12534
112	1026	12605
113	1043	12685
114	1059	12755
115	1076	12845
116	1096	12956
117	1127	13202
118	1141	13247
119	1160	13347
120	1168	13320
121	1175	13279
122	1186	13282
123	1201	13335
124	1215	13368
125	1230	13423
126	1249	13509
127	1260	13515
128	1274	13544
129	1289	13594
130	1302	13611
131	1314	13626
132	1329	13668
133	1347	13731
134	1360	13754
135	1374	13782
136	1384	13774
137	1397	13792
138	1410	13812
139	1427	13864
140	1442	13899
141	1464	14006
142	1477	14018
143	1491	14047
144	1507	14083
145	1523	14129
146	1535	14133
147	1549	14154
148	1562	14168
149	1576	14191
150	1591	14215
151	1604	14227
152	1620	14267
153	1635	14298
154	1652	14343
155	1668	14370
156	1683	14397
157	1696	14413
158	1715	14465
159	1721	14421
160	1728	14377
161	1735	14337
162	1742	14290
163	1749	14255
164	1756	14212
165	1763	14170
166	1769	14123
167	1776	14081
168	1782	14038
169	1796	14056
170	1816	14117
171	1825	14090
172	1835	14076
173	1842	14039
174	1849	14006
175	1857	13974
176	1864	13938
177	1871	13897
178	1877	13857
179	1884	13822
180	1891	13784
181	1898	13750
182	1905	13713
183	1912	13679
184	1919	13643
185	1926	13607
186	1932	13569
187	1940	13540
188	1946	13505
189	1954	13472
190	1960	13433
191	1967	13401
192	1973	13367
193	1986	13373
194	2001	13395
195	2014	13403
196	2021	13369
197	2028	13337
198	2039	13335
199	2048	13315
200	2055	13283
201	2061	13247
202	2068	13213
203	2079	13213
204	2092	13219
205	2104	13220
206	2116	13221
207	2129	13227
208	2146	13260
209	2171	13340
210	2191	13386
211	2208	13415
212	2226	13451
213	2242	13473
214	2254	13477
215	2269	13493
216	2283	13502
217	2297	13508
218	2311	13519
219	2325	13530
220	2338	13534
221	2349	13524
222	2361	13520
223	2374	13527
224	2388	13533
225	2404	13553
226	2424	13594
227	2441	13620
228	2457	13639
229	2472	13653
230	2479	13622
231	2486	13591
232	2496	13574
233	2503	13543
234	2510	13515
235	2517	13481
