,past_numbers
0,46
1,38
2,31
3,25
4,19
5,17
6,5
7,35
8,32
9,31
10,29
11,28
12,27
13,8
14,47
15,46
16,42
17,38
18,25
19,15
20,5
21,44
22,35
23,31
24,20
25,18
26,10
27,4
28,36
29,25
30,23
31,12
32,10
33,7
34,4
35,19
36,18
37,17
38,14
39,10
40,9
41,6
42,18
43,17
44,16
45,11
46,8
47,7
48,2
49,44
50,36
51,23
52,18
53,16
54,14
55,2
56,49
57,47
58,29
59,24
60,10
61,9
62,6
63,40
64,36
65,29
66,21
67,10
68,4
69,1
70,40
71,28
72,26
73,18
74,17
75,13
76,10
77,46
78,44
79,34
80,16
81,14
82,11
83,7
84,48
85,28
86,23
87,21
88,11
89,8
90,6
91,47
92,46
93,40
94,38
95,30
96,19
97,2
98,47
99,44
100,43
101,32
102,30
103,28
104,24
105,42
106,32
107,31
108,24
109,10
110,3
111,1
112,40
113,38
114,37
115,35
116,24
117,14
118,9
119,48
120,41
121,38
122,28
123,27
124,18
125,8
126,42
127,39
128,36
129,30
130,28
131,8
132,2
133,43
134,38
135,37
136,26
137,24
138,15
139,11
140,40
141,35
142,32
143,19
144,13
145,6
146,1
147,48
148,29
149,22
150,7
151,5
152,4
153,1
154,35
155,34
156,33
157,17
158,15
159,10
160,8
161,31
162,30
163,29
164,13
165,12
166,9
167,8
168,44
169,33
170,27
171,18
172,13
173,9
174,7
175,39
176,28
177,24
178,23
179,21
180,17
181,8
182,49
183,43
184,34
185,30
186,22
187,17
188,12
189,41
190,39
191,34
192,32
193,30
194,26
195,17
196,47
197,41
198,40
199,24
200,22
201,17
202,16
203,42
204,41
205,39
206,29
207,25
208,19
209,10
210,47
211,42
212,24
213,23
214,17
215,12
216,9
217,47
218,43
219,35
220,32
221,27
222,23
223,4
224,38
225,36
226,35
227,32
228,30
229,27
230,2
231,39
232,26
233,24
234,18
235,17
236,15
237,14
238,47
239,43
240,29
241,16
242,11
243,2
244,1
245,35
246,26
247,24
248,22
249,21
250,20
251,6
252,44
253,40
254,35
255,17
256,16
257,14
258,3
259,47
260,45
261,42
262,35
263,29
264,26
265,8
266,47
267,37
268,32
269,19
270,16
271,15
272,7
273,49
274,44
275,37
276,26
277,18
278,15
279,3
280,46
281,39
282,36
283,22
284,19
285,15
286,14
287,49
288,39
289,21
290,19
291,18
292,15
293,9
294,43
295,35
296,34
297,33
298,21
299,16
300,12
301,45
302,39
303,32
304,22
305,18
306,8
307,5
308,49
309,40
310,32
311,21
312,19
313,18
314,17
315,45
316,39
317,32
318,22
319,18
320,8
321,5
322,45
323,42
324,37
325,34
326,6
327,3
328,1
329,37
330,36
331,34
332,16
333,12
334,11
335,3
336,43
337,29
338,28
339,15
340,12
341,9
342,4
343,42
344,33
345,31
346,30
347,29
348,16
349,11
350,49
351,44
352,32
353,20
354,17
355,7
356,6
357,41
358,28
359,24
360,21
361,16
362,11
363,8
364,33
365,32
366,16
367,5
368,4
369,3
370,1
371,33
372,25
373,19
374,14
375,10
376,6
377,3
378,41
379,36
380,31
381,23
382,19
383,17
384,7
385,49
386,45
387,36
388,35
389,30
390,16
391,14
392,39
393,28
394,27
395,24
396,23
397,18
398,11
399,45
400,40
401,33
402,30
403,27
404,18
405,3
406,45
407,35
408,33
409,32
410,28
411,17
412,12
413,48
414,47
415,41
416,38
417,33
418,19
419,7
420,46
421,31
422,25
423,23
424,9
425,6
426,5
427,42
428,41
429,38
430,35
431,32
432,14
433,4
434,32
435,23
436,19
437,12
438,10
439,6
440,4
441,35
442,32
443,29
444,25
445,12
446,7
447,2
448,47
449,43
450,31
451,28
452,25
453,20
454,7
455,48
456,44
457,37
458,32
459,29
460,24
461,7
462,48
463,41
464,35
465,31
466,15
467,2
468,1
469,49
470,43
471,38
472,24
473,20
474,13
475,9
476,46
477,29
478,24
479,23
480,19
481,10
482,3
483,48
484,42
485,39
486,25
487,20
488,19
489,6
490,49
491,45
492,41
493,36
494,25
495,10
496,7
497,33
498,32
499,31
500,22
501,7
502,6
503,1
504,48
505,46
506,42
507,33
508,29
509,21
510,7
511,45
512,44
513,36
514,28
515,13
516,5
517,2
518,47
519,42
520,36
521,34
522,32
523,28
524,19
525,42
526,38
527,22
528,21
529,20
530,11
531,9
532,46
533,44
534,31
535,12
536,9
537,5
538,4
539,49
540,37
541,30
542,21
543,14
544,10
545,9
546,49
547,33
548,31
549,27
550,26
551,9
552,2
553,45
554,43
555,39
556,36
557,27
558,12
559,3
560,35
561,30
562,27
563,25
564,23
565,16
566,7
567,41
568,35
569,33
570,28
571,24
572,10
573,4
574,31
575,28
576,25
577,22
578,9
579,3
580,2
581,46
582,45
583,44
584,40
585,19
586,13
587,3
588,49
589,48
590,41
591,30
592,19
593,18
594,4
595,42
596,40
597,35
598,31
599,24
600,8
601,3
602,48
603,47
604,30
605,23
606,22
607,15
608,7
609,45
610,37
611,29
612,28
613,15
614,11
615,6
616,39
617,18
618,17
619,12
620,10
621,9
622,2
623,44
624,36
625,35
626,29
627,26
628,15
629,8
630,37
631,33
632,19
633,14
634,12
635,8
636,3
637,43
638,36
639,34
640,29
641,26
642,6
643,5
644,48
645,44
646,42
647,39
648,37
649,30
650,18
651,49
652,43
653,39
654,36
655,28
656,24
657,16
658,47
659,32
660,28
661,19
662,18
663,16
664,10
665,47
666,41
667,37
668,29
669,28
670,23
671,10
672,41
673,30
674,29
675,26
676,25
677,13
678,11
679,49
680,40
681,39
682,38
683,29
684,25
685,13
686,46
687,45
688,34
689,29
690,18
691,17
692,14
693,47
694,41
695,36
696,35
697,33
698,22
699,14
700,48
701,46
702,40
703,32
704,30
705,21
706,15
707,45
708,35
709,33
710,22
711,12
712,6
713,2
714,45
715,42
716,39
717,30
718,25
719,6
720,2
721,35
722,25
723,23
724,17
725,11
726,9
727,2
728,49
729,33
730,32
731,20
732,15
733,9
734,2
735,43
736,41
737,32
738,27
739,25
740,18
741,2
742,41
743,18
744,16
745,10
746,9
747,4
748,3
749,48
750,45
751,24
752,21
753,15
754,4
755,3
756,43
757,31
758,26
759,17
760,12
761,6
762,3
763,43
764,33
765,25
766,19
767,11
768,8
769,3
770,43
771,41
772,34
773,27
774,25
775,8
776,3
777,38
778,33
779,24
780,19
781,13
782,12
783,3
784,48
785,44
786,43
787,42
788,38
789,28
790,3
791,46
792,32
793,31
794,17
795,9
796,5
797,4
798,49
799,43
800,41
801,23
802,12
803,9
804,4
805,42
806,33
807,24
808,21
809,21
810,9
811,4
812,41
813,32
814,31
815,21
816,11
817,10
818,4
819,40
820,38
821,25
822,14
823,8
824,6
825,5
826,49
827,45
828,40
829,26
830,24
831,6
832,5
833,45
834,42
835,29
836,17
837,15
838,13
839,5
840,45
841,44
842,40
843,21
844,17
845,15
846,5
847,49
848,46
849,44
850,42
851,30
852,12
853,6
854,38
855,23
856,17
857,14
858,12
859,11
860,7
861,41
862,40
863,33
864,28
865,21
866,16
867,7
868,45
869,37
870,31
871,24
872,20
873,12
874,8
875,49
876,40
877,38
878,21
879,18
880,15
881,8
882,45
883,31
884,27
885,25
886,24
887,19
888,8
889,45
890,34
891,30
892,21
893,18
894,12
895,9
896,48
897,46
898,42
899,40
900,36
901,19
902,9
903,49
904,46
905,45
906,39
907,17
908,12
909,10
910,25
911,16
912,14
913,5
914,3
915,2
916,1
917,45
918,35
919,32
920,18
921,16
922,3
923,1
924,36
925,32
926,28
927,8
928,6
929,4
930,1
931,47
932,44
933,41
934,26
935,15
936,5
937,1
938,29
939,25
940,18
941,17
942,13
943,6
944,1
945,46
946,31
947,22
948,15
949,6
950,4
951,2
952,43
953,25
954,24
955,12
956,7
957,5
958,2
959,48
960,46
961,39
962,31
963,28
964,22
965,5
966,38
967,21
968,15
969,14
970,9
971,5
972,4
973,44
974,36
975,33
976,29
977,13
978,6
979,5
980,38
981,32
982,21
983,15
984,11
985,9
986,7
987,46
988,45
989,43
990,41
991,31
992,29
993,11
994,44
995,33
996,27
997,18
998,17
999,13
1000,7
1001,34
1002,29
1003,22
1004,17
1005,12
1006,8
1007,3
1008,43
1009,40
1010,38
1011,34
1012,30
1013,24
1014,12
1015,47
1016,40
1017,38
1018,32
1019,13
1020,12
1021,4
1022,41
1023,36
1024,29
1025,20
1026,9
1027,8
1028,6
1029,49
1030,44
1031,37
1032,29
1033,28
1034,25
1035,3
1036,49
1037,28
1038,24
1039,22
1040,21
1041,8
1042,7
1043,38
1044,32
1045,30
1046,20
1047,14
1048,8
1049,2
1050,48
1051,44
1052,41
1053,32
1054,27
1055,5
1056,2
1057,45
1058,40
1059,36
1060,31
1061,26
1062,13
1063,10
1064,42
1065,32
1066,28
1067,22
1068,11
1069,8
1070,2
1071,46
1072,41
1073,40
1074,28
1075,18
1076,9
1077,4
1078,47
1079,45
1080,42
1081,40
1082,11
1083,7
1084,3
1085,43
1086,40
1087,38
1088,34
1089,32
1090,22
1091,19
1092,44
1093,35
1094,29
1095,26
1096,17
1097,16
1098,3
1099,49
1100,42
1101,25
1102,20
1103,16
1104,5
1105,4
1106,49
1107,35
1108,30
1109,29
1110,27
1111,6
1112,4
1113,33
1114,31
1115,17
1116,10
1117,7
1118,6
1119,1
1120,45
1121,40
1122,38
1123,27
1124,24
1125,13
1126,6
1127,45
1128,41
1129,31
1130,20
1131,17
1132,9
1133,7
1134,46
1135,39
1136,33
1137,18
1138,16
1139,15
1140,6
1141,40
1142,38
1143,32
1144,29
1145,15
1146,13
1147,9
1148,47
1149,35
1150,29
1151,23
1152,21
1153,18
1154,14
1155,49
1156,47
1157,44
1158,27
1159,22
1160,5
1161,2
1162,48
1163,45
1164,42
1165,38
1166,26
1167,20
1168,11
1169,44
1170,39
1171,20
1172,16
1173,11
1174,7
1175,4
1176,39
1177,34
1178,20
1179,18
1180,8
1181,7
1182,4
1183,49
1184,48
1185,36
1186,34
1187,27
1188,21
1189,10
1190,49
1191,47
1192,45
1193,37
1194,33
1195,20
1196,4
1197,48
1198,38
1199,32
1200,29
1201,19
1202,13
1203,2
1204,43
1205,31
1206,24
1207,18
1208,10
1209,8
1210,3
1211,47
1212,43
1213,40
1214,37
1215,12
1216,8
1217,6
1218,46
1219,32
1220,20
1221,11
1222,9
1223,7
1224,5
1225,49
1226,43
1227,35
1228,31
1229,28
1230,9
1231,3
1232,44
1233,37
1234,28
1235,23
1236,13
1237,11
1238,10
1239,43
1240,41
1241,33
1242,27
1243,25
1244,17
1245,2
1246,42
1247,33
1248,18
1249,14
1250,13
1251,6
1252,1
1253,44
1254,43
1255,41
1256,33
1257,21
1258,19
1259,12
1260,45
1261,42
1262,35
1263,28
1264,26
1265,23
1266,13
1267,44
1268,43
1269,34
1270,32
1271,31
1272,28
1273,26
1274,44
1275,42
1276,39
1277,35
1278,28
1279,23
1280,18
1281,49
1282,44
1283,39
1284,38
1285,35
1286,28
1287,26
1288,49
1289,43
1290,35
1291,33
1292,20
1293,19
1294,5
1295,37
1296,31
1297,23
1298,21
1299,18
1300,12
1301,2
1302,47
1303,45
1304,43
1305,35
1306,26
1307,20
1308,15
1309,44
1310,30
1311,29
1312,26
1313,25
1314,19
1315,9
1316,31
1317,30
1318,28
1319,24
1320,19
1321,10
1322,9
1323,48
1324,47
1325,43
1326,34
1327,26
1328,14
1329,10
1330,47
1331,46
1332,30
1333,20
1334,16
1335,15
1336,14
1337,40
1338,34
1339,30
1340,26
1341,24
1342,16
1343,7
1344,46
1345,44
1346,39
1347,37
1348,31
1349,27
1350,14
1351,48
1352,42
1353,41
