,business_id,date,review_id,stars,type,user_id,cool,useful,funny,first_word,second_word,third_word,fourth_word,fifth_word,sixth_word,seventh_word,eighth_word,ninth_word,tenth_word,elevnth_word,twelfth_word,thirteenth_word,fourteenth_word,fifteenth_word,sixteenth_word,seventeenth_word,eighteenth_word,nineteenth_word,twentieth_word
0,9yKzy9PApeiPPOUJEtnvkg,2011-01-26,fWKvX83p0-ka4JS3dc6E5A,5,review,rLtl8ZkDX5vH5nAx9C3q5Q,2,5,0,My,wife,took,me,here,on,my,birthday,for,breakfast,and,it,was,excellent.,,The,weather,was,perfect,which
1,ZRJwVLyzEJq1VAihDhYiow,2011-07-27,IjZ33sJrzXqU-0X6U8NwyA,5,review,0a2KyEL0d3Yb1V6aivbIuQ,0,0,0,I,have,no,idea,why,some,people,give,bad,reviews,about,this,place.,It,goes,to,show,"you,",you,can
2,6oRAC4uyJCsJl1X0WZpVSA,2012-06-14,IESLBzqUCLdSzSqm0eCSxQ,4,review,0hT2KtfLiobPvh6cDC8JQg,0,1,0,love,the,gyro,plate.,Rice,is,so,good,and,I,also,dig,their,candy,selection,:),n/a,n/a,n/a,n/a
3,_1QQZuf4zZOyFCvXc0o6Vg,2010-05-27,G-WvGaISbqqaMHlNnByodA,5,review,uZetl9T0NcROGOyFfughhg,1,2,0,"Rosie,","Dakota,",and,I,LOVE,Chaparral,Dog,Park!!!,It's,very,convenient,and,surrounded,by,a,lot,of,"paths,",a,desert
4,6ozycU1RpktNG2-1BroVtw,2012-01-05,1uJFq2r5QfJG_6ExMRCaGw,5,review,vYmM4KTsC8ZfQBg-j5MWkw,0,0,0,General,Manager,Scott,Petello,is,a,good,egg!!!,Not,to,go,into,"detail,",but,let,me,assure,you,if,you
5,-yxfBYGB6SEqszmxJxd97A,2007-12-13,m2CKSsepBCoRYWxiRUsxAg,4,review,sqYN3lNgvPbPCTRsMFu27g,4,3,1,Quiessence,"is,",simply,"put,",beautiful.,,Full,windows,and,earthy,wooden,walls,give,a,feeling,of,warmth,inside,this,restaurant
6,zp713qNhx8d9KCJJnrw1xA,2010-02-12,riFQ3vxNpP4rWLk_CSri2A,5,review,wFweIWhv2fREZV_dYkz_1g,7,7,4,Drop,what,you're,doing,and,drive,here.,After,I,ate,here,I,had,to,go,back,the,next,day,for
7,hW0Ne_HTHEAgGF1rAdmR-g,2012-07-12,JL7GXJ9u4YMx7Rzs05NfiQ,4,review,1ieuYcKS7zeAv_U15AB13A,0,1,0,"Luckily,",I,didn't,have,to,travel,far,to,make,my,connecting,flight.,And,for,"this,",I,thank,"you,","Phoenix.

My",brief
8,wNUea3IXZWD63bbOQaOH-g,2012-08-17,XtnfnYmnJYi71yIuGsXIUA,4,review,Vh_DlizgGhSqQh4qfZ2h6A,0,0,0,Definitely,come,for,Happy,hour!,Prices,are,"amazing,",sake,bombers,for,$3...Great,atmosphere,and,wait,staff,was,incredibly,nice,and
9,nMHhuYan8e3cONo3PornJA,2010-08-11,jJAIXA46pU1swYyRCdfXtQ,5,review,sUNkXg8-KFtCMQDV6zRzQg,0,1,0,Nobuo,shows,his,unique,talents,with,everything,on,the,menu.,Carefully,crafted,features,with,much,to,drink.,Start,with,the
10,AsSCv0q_BWqIe3mX2JqsOQ,2010-06-16,E11jzpKz9Kw5K7fuARWfRw,5,review,-OMlS6yWkYjVldNhC31wYg,1,3,1,The,oldish,man,who,owns,the,store,is,as,sweet,as,can,be.,,Perhaps,sweeter,than,the,cookies,or
11,e9nN4XxjdHj4qtKCOPq_vg,2011-10-21,3rPt0LxF7rgmEUrznoH22w,5,review,C1rHp3dmepNea7XiouwB6Q,1,1,0,Wonderful,Vietnamese,sandwich,shoppe.,Their,baguettes,are,great,hot,out,of,the,oven,with,butter,or,in,one,of,their
12,h53YuCiIDfEFSJCQpk8v1g,2010-01-11,cGnKNX3I9rthE0-TH24-qA,5,review,UPtysDF6cUDUxq2KY-6Dcg,1,2,0,They,have,a,limited,time,thing,going,on,right,now,with,BBQ,chicken,pizza,(not,sure,how,long,it's,going
13,WGNIYMeXPyoWav1APUq7jA,2011-12-23,FvEEw1_OsrYdvwLV5Hrliw,4,review,Xm8HXE1JHqscXe5BKf0GFQ,1,2,0,Good,tattoo,shop.,Clean,"space,",multiple,artists,to,choose,from,and,books,of,their,work,are,available,for,you,to
14,yc5AH9H71xJidA_J2mChLA,2010-05-20,pfUwBKYYmUXeiwrhDluQcw,4,review,JOG-4G4e8ae3lx_szHtR8g,1,1,0,I'm,2,weeks,new,to,Phoenix.,I,looked,up,Irish,bars,in,town,and,found,Rosie's.,The,decor,and,ambience
15,Vb9FPCEL6Ly24PNxLBaAFw,2011-03-20,HvqmdqWcerVWO3Gs6zbrOw,2,review,ylWOj2y7TV2e3yYeWhu2QA,0,2,0,Was,it,worth,the,21$,for,a,salad,and,small,pizza?,Absolutely,not!,Bad,service.,Maybe,the,guys,grandma,died
16,supigcPNO9IKo6olaTNV-g,2008-10-12,HXP_0Ul-FCmA4f-k9CqvaQ,3,review,SBbftLzfYYKItOMFwOTIJg,3,4,2,We,went,here,on,a,Saturday,afternoon,and,this,place,was,incredibly,empty.,,They,had,brunch,specials,going,"on,"
17,O510Re68mOy9dU490JTKCg,2010-05-03,j4SIzrIy0WrmW4yr4--Khg,5,review,u1KWcbPMvXFEEYkZZ0Yktg,0,0,0,okay,this,is,the,best,place,EVER!,i,grew,up,shopping,at,the,one,in,los,"gatos,",and,the,one
18,b5cEoKR8iQliq-yT2_O0LQ,2009-03-06,v0cTd3PNpYCkTyGKSpOfGA,3,review,UsULgP4bKA8RMzs8dQzcsA,5,6,4,I,met,a,friend,for,lunch,yesterday.,"

Loved",the,water,feature,and,patio,walking,"in,",if,it,had,been,warmer
19,4JzzbSbK9wmlOBJZWYfuCg,2011-11-17,a0lCu-j2Sk_kHQsZi_eNgw,4,review,nDBly08j5URmrHQ2JCbyiw,1,1,1,They've,gotten,better,and,better,for,me,in,the,time,since,this,review,was,written.,"

My",last,contact,with,them
20,8FNO4D3eozpIjj0k3q5Zbg,2008-10-08,MuqugTuR5DdIPcZ2IVP3aQ,3,review,C6IOtaaYdLIT5fWd7ZYIuA,2,4,1,"DVAP....

You",have,to,go,at,least,once,in,your,life.,It,really,is,a,neat,place,with,alot,of,history.
21,tdcjXyFLMKAsvRhURNOkCg,2011-06-28,LmuKVFh03Uz318VKnUWrxA,5,review,YN3ZLOdg8kpnfbVcIhuEZA,1,1,2,This,place,shouldn't,even,be,reviewed,-,because,it,is,the,kind,of,place,I,want,to,keep,for,myself...
22,eFA9dqXT5EA_TrMgbo03QQ,2011-07-13,CQYc8hgKxV4enApDkx0IhA,5,review,6lg55RIP23VhjYEBXJ8Njw,0,0,0,first,time,my,friend,and,I,went,there...,it,was,delicious!,,The,"food,",garlic,knots,our,favorite,and,of
23,IJ0o6b8bJFAbG6MjGfBebQ,2010-09-05,Dx9sfFU6Zn0GYOckijom-g,1,review,zRlQEDYd_HKp0VS3hnAffA,0,1,1,U,can,go,there,n,check,the,car,out.,If,u,wanna,buy,1,there?,That's,wrong,move!,If,u
24,JhupPnWfNlMJivnWB5druA,2011-05-22,cFtQnKzn2VDpBedy_TxlvA,5,review,13xj6FSvYO0rZVRv5XZp4w,0,1,0,I,love,this,place!,I,have,been,coming,here,for,"ages.
My",favorites:,Elsa's,Chicken,"sandwich,",any,of,their,"burgers,",dragon
25,wzP2yNpV5p04nh0injjymA,2010-05-26,ChBeixVZerfFkeO0McdlbA,4,review,rLtl8ZkDX5vH5nAx9C3q5Q,0,0,0,This,place,is,great.,,A,nice,little,ole',fashion,homemade,ice,cream,place,that,looks,like,it,has,been
26,qjmCVYkwP-HDa35jwYucbQ,2013-01-03,kZ4TzrVX6qeF0OvrVTGVEw,5,review,fpItLlgimq0nRltWOkuJJw,0,0,0,I,love,love,LOVE,this,place.,My,boss,(who,is,into,healthy,eating),recommended,this,place.,I,went,over,with
27,wct7rZKyZqZftzmAU-vhWQ,2008-03-21,B5h25WK28rJjx4KHm4gr7g,4,review,RRTraCQw77EU4yZh0BBTag,2,4,1,Not,that,my,review,will,mean,much,given,the,more,in-depth,reviewers,but,I,will,chime,in,"nonetheless...

I",can,really
28,vz2zQQSjy-NnnKLZzjjoxA,2011-03-30,Y_ERKao0J5WsRiCtlKSNSA,4,review,EP3cGJvYiuOwumerwADplg,1,1,1,Came,here,for,breakfast,"yesterday,",it,had,been,years,since,I,have,stopped,in,here,and,do,not,remember,the
29,i213sY5rhkfCO8cD-FPr1A,2012-07-12,hre97jjSwon4bn1muHKOJg,4,review,kpbhy1zPewGDmdNfNqQp-g,0,1,0,Always,reliably,good.,,Great,beer,selection,as,well,as,fabulous,"""bitch","fizz""","(ciders,",etc.),and,cocktails.,,Their,pizza
30,V1nEpIRmEa1768oj_tuxeQ,2011-05-09,dtpJXC5p_sdWDLSobluJ3Q,5,review,bCKjygWJZOQHCOzootbvow,0,2,0,Disclaimer:,Like,many,of,"you,",I,am,a,sucker,for,charming,little,homes,that,have,been,re-purposed,into,restaurants.,I
31,vvA3fbps4F9nGlAEYKk_sA,2012-05-04,S9OVpXat8k5YwWCn6FAgXg,1,review,8AMn6644NmBf96xGO3w6OA,0,1,0,Disgusting!,,Had,a,Groupon,so,my,daughter,and,I,tried,it,out.,,Very,outdated,and,gaudy,80's,style
32,rxQ2PIjhAx6dgAqUalf99Q,2012-09-09,-v-shjbxoj7hpU62yn6vag,5,review,HLbhD2OyiMCUDRR4c1iXaw,0,0,0,Never,having,dealt,with,a,Discount,Tire,in,Phoenix,before,(only,in,"Texas,",and,their,service,has,been,great,all
33,qjmCVYkwP-HDa35jwYucbQ,2010-03-28,2VTwjhOX3UUvgOGbxe4xfA,4,review,3iuZFgxUFKLxOplkDrFmyg,0,0,0,I,went,here,again,when,I,got,back,to,Phoenix,after,being,gone,for,six,months.,This,is,one,of
34,3oLy0rlzRI_xiqfQHqC4_g,2011-03-27,Bk7F8IyBuOHVp6w3BAKVow,3,review,1guJDgUfTiDdbgKqBhsZFQ,1,3,1,There's,two,ways,to,look,at,this,place.,One,is,getting,quality,food,at,a,good,price.,The,other,is
35,o1GIYYZJjM6nM03fQs_uEQ,2011-11-30,ApKbwpYJdnhhgP4NbjQw2Q,1,review,iwUN95LIaEr75TZE_JC6bg,0,4,3,I've,eaten,here,many,"times,",but,none,as,bad,as,last,"night.
Service",was,"excellent,",and,highly,"attentive.
Food,",absolutely,"horrible.

My",expectation
36,Pr9rQKypHgC_J1AfufxzIw,2008-12-28,vUuFuf4LYxfqbZH3lYxJfw,4,review,iFa0SLpNeLbx6aux65mNbQ,0,1,0,They,must,have,renovated,this,place,in,the,last,year.,It,is,now,spacious,and,airy,and,there,is,no
37,AGar9KVq_W7YcF76avbDTw,2012-10-16,gNm48xplqt42p-NvCkzUBg,4,review,370JyOQfFcPSB9_jk641gA,0,0,0,Very,clean,and,well,thought,out,floor,"plans,",nice,to,have,a,friendly,staff,with,smiling,faces.,Best,Target,I
38,-kVXDEqGHOWKxQ3EhvFgVA,2011-01-02,5V9lfjjlY7tkXgkcDUWYyg,4,review,Ja8SAyDdf1aY-E7vVixJiw,0,0,0,This,Mexican,food,is,very,"simple,",slightly,"bland,",but,fairly,fresh.,The,chicken,is,chopped,up,into,tofu-looking,squares.,But
39,qyNtVViurIcChc35mfYIEw,2008-07-09,1fRGR6XTTElRBZW_oDrpUA,4,review,N3L6SDymSRkYQtTiSDmXSg,1,1,0,Decor,,functional,"
Staff",friendly,and,are,really,kind,to,our,"toddler
food",rocks,,within,my,,limited,range,of
40,umdxfhSlk67yGEi8-S-bEg,2011-11-09,2sG6LKzRz91l10stVHl8uQ,4,review,F0dO68TECqEJBhBJ4P0qVA,0,1,0,This,Place,just,opened,up,next,to,the,salon,I,work,in.,AMAZING!,They,hit,the,ground,"running,","

It's",a
41,qsThMZ3lXWYLN4t08ScsNA,2009-03-13,fuY6Bf4EtW3UwrdLQJa9_Q,4,review,W_QXYA7A0IhMrvbckz7eVg,2,2,1,I,really,really,like,Frances.,,I,love,most,of,the,clothes,in,"there,",but,I,can,never,have,them
42,puy0PzIcCgR3KWJI7llBFQ,2012-06-30,UTWI0z7nV5zNJLWnOz9Z5A,4,review,PiDqfET_ZrDKJSLKe03O9A,0,0,0,Solid,"food,",great,"device,",and,casual,environment.,,They,will,not,leave,you,hungry.,,"Overall,",it's,really,good.,n/a
43,e0vubCKi8KD8zC2C6FdbuQ,2012-04-12,7uzj6rJ71toRmdsXyo2suA,4,review,wv5-4IPtpVA8wdqXu-Onpw,0,1,0,my,son,really,enjoys,"islands,",great,"food,",casual,kid,freindly,atmoshpere,we,go,here,quite,a,lot,and,seem,to
44,faSdsW2s_SaVN0KTy-R2MQ,2009-06-13,HXU9dbOSlByXW-dB8LmJgA,4,review,7cR92zkDv4W3kqzii6axvg,1,1,1,I,was,seated,at,the,bar.,A,very,nice,young,man,was,working,the,bar,an,provided,good,"conversation.

I",was
45,qB-qsaSnhbHCt18_AN4Quw,2011-12-21,1FvrC35rTJ6BWFvRog7tuA,3,review,66PQJEHC0tCWGMI4V9KT-Q,0,0,0,Everything,was,nice.,The,ice,cream,was,"delicious,",no,overwhelming,alcohol,taste,&,an,interesting,variety,of,flavors.,Service,was
